Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2022-02-14,151.80227661132812,153.97480463721422,150.16141089721083,153.73647277375122,8967600
2022-02-15,153.36976623535156,154.09395144619748,152.17807914514339,152.2880902836164,6631400
2022-02-16,153.2781524658203,153.8556516690121,151.90313171666045,152.61814138722883,8482400
2022-02-17,152.3430938720703,153.49810595831707,151.1789060313146,153.27811164899234,6227600
2022-02-18,150.7101593017578,152.55528857133015,150.32268384441392,152.20470950540127,6423200
2022-02-22,148.66207885742188,151.0607527674048,148.01628636695585,150.9039184538074,6868900
2022-02-23,148.73590087890625,150.04594122939196,148.39455640142828,149.00343848177943,8016900
2022-02-24,145.8943634033203,147.73027200149176,143.6617587893191,147.40736876475992,12883400
2022-02-25,153.14572143554688,154.059065444437,147.3335617222481,147.61033391378012,11340400
2022-02-28,151.8264923095703,152.38924331015514,149.80607319290192,150.25812092481056,9373500
2022-03-01,151.3006134033203,151.99253694022573,149.8337388836137,150.4149450821044,8737800
2022-03-02,153.18264770507812,154.64953638316575,151.33751817124224,151.67887670751227,6793300
2022-03-03,155.4337158203125,156.22712212292691,153.44098652205324,153.79155157863505,7333700
2022-03-04,156.35626220703125,156.70684129951897,153.92992660624057,154.6587465289585,6302500
2022-03-07,158.87486267089844,159.71438579367398,154.40041854100912,155.26763155399544,11663400
2022-03-08,155.65512084960938,159.714399991025,155.46137606422695,158.71802840310215,11100300
2022-03-09,156.24557495117188,157.0482018217422,154.8894035702086,156.84523643974623,7248200
2022-03-10,156.52232360839844,156.97437128241913,155.06466975619924,155.50749685141813,6171400
2022-03-11,156.236328125,158.18294008733636,155.93188010314995,156.03336277709997,5188000
2022-03-14,158.3951416015625,160.63696715050492,157.15890823521843,157.46334220980856,7729500
2022-03-15,162.5005645751953,162.85114370663814,159.18856029591976,159.9081597193495,10554400
2022-03-16,161.0059814453125,163.24780671514387,159.19774859589705,161.8731944405822,9603300
2022-03-17,163.10943603515625,163.14633242788088,160.7107622686844,161.6425615923126,7472100
2022-03-18,161.30120849609375,163.29395162324928,160.2125889090044,163.29395162324928,13809500
2022-03-21,162.2145538330078,163.44156658040527,160.82148619571097,161.13515481700108,7574900
2022-03-22,161.44882202148438,162.71273115202783,160.44322987999766,162.21455240948126,8442100
2022-03-23,160.8399200439453,161.94699482461803,160.60927887808768,161.6610020313097,5254200
2022-03-24,161.6702423095703,161.94700045644828,160.59084330508603,161.44882171484787,5012300
2022-03-25,163.2201385498047,163.93973786103655,161.6517814375614,162.0853879555113,4809500
2022-03-28,164.05966186523438,164.38255102370334,162.69427022084398,162.97102833461213,5604200
2022-03-29,163.97665405273438,165.5081007486403,163.10944098657336,164.7885014122982,5933400
2022-03-30,165.6833953857422,165.93249180281555,163.9212933845701,164.62245158415132,6277600
2022-03-31,163.5061492919922,166.25540242615918,163.27550810083716,165.68340269958438,11490400
2022-04-01,164.39178466796875,164.61319115762163,162.00234578567597,163.3400616104626,6525600
2022-04-04,162.80499267578125,164.39180507563324,161.92855903192836,164.39180507563324,6860600
2022-04-05,163.8567352294922,165.73876123369865,162.63894293242433,162.80501191712528,7446100
2022-04-06,168.1189727783203,168.46033131305632,164.78851342162454,165.49889223058088,10330900
2022-04-07,167.68536376953125,168.78321807358347,166.27384082924152,167.60233632062503,7385200
2022-04-08,168.01747131347656,169.00462225638347,166.45833478628762,167.2886514263178,7144500
2022-04-11,165.91404724121094,169.93643025927133,165.69264070265257,168.8293553348152,5932000
2022-04-12,165.96939086914062,166.80892815993056,164.40103362872014,165.32359836746403,5957500
2022-04-13,166.67054748535156,166.83660237967075,165.36050725813578,165.9693892811934,5643100
2022-04-14,165.96939086914062,167.3532379772565,165.81255655282067,166.0616529739033,6188200
2022-04-18,163.90284729003906,166.421444968807,163.05408945888115,165.81254889083934,6318700
2022-04-19,168.90313720703125,171.54167265968093,166.01550535815127,166.7258840777314,14380800
2022-04-20,169.65040588378906,170.04711598697702,167.81449723869252,168.12817990535933,8044900
2022-04-21,169.16148376464844,170.5545515569836,168.42342910277495,169.68733838507387,6969200
2022-04-22,167.4823760986328,168.96770571036706,167.3347764570812,168.34036852142043,8003600
2022-04-25,171.6062774658203,172.23362886491162,167.99905971062776,168.22046625847716,11176500
2022-04-26,170.37924194335938,172.1229027395126,169.91795959361812,170.76673150509575,10190000
2022-04-27,167.99905395507812,170.50843131102957,167.66693006746038,169.97334204335536,11090100
2022-04-28,169.2537384033203,170.21319956733774,167.83298077843037,168.1374288409068,9403900
