Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-02-14,287.5426025390625,289.25812046618785,283.98487798229365,286.3436853859763,36359500
2022-02-15,292.8742980957031,293.1959428034632,289.51150014765204,292.4259349513336,27058300
2022-02-16,292.53240966796875,293.87053311659713,286.8477994281058,291.4286933030081,29982100
2022-02-17,283.96649169921875,289.8952570600071,283.2534636289958,289.46549079954667,32461600
2022-02-18,281.23162841796875,287.0236665492463,279.64932064724337,286.2325126638836,34264000
2022-02-22,281.0264892578125,284.75762801323344,277.8813980767307,278.36976608741037,41736100
2022-02-23,273.749755859375,284.9138696828372,273.5837274511273,283.4292120602157,37811200
2022-02-24,287.73663330078125,288.2933799332751,265.2033282998834,266.17031713727135,56989700
2022-02-25,290.39337158203125,290.7059342491932,284.8650423630225,288.2738711995005,32546700
2022-02-28,291.8389587402344,292.18082230287547,286.1836489356128,287.46317071518655,34627500
2022-03-01,288.0882873535156,292.9914912105376,285.35340874270304,289.5045366307501,31217800
2022-03-02,293.2063903808594,294.45661130333264,286.867383102962,288.4887386773608,31873000
2022-03-03,289.0357360839844,296.0779944403515,287.20921468862633,295.8435873340458,27314500
2022-03-04,283.11669921875,288.78178623480954,280.4893066480175,287.4436626057288,32356500
2022-03-07,272.4214782714844,282.95069258671765,272.0503137719436,281.8176750961905,43157200
2022-03-08,269.4326477050781,277.3539628320421,263.7187358011951,271.3372651346265,48159500
2022-03-09,281.788330078125,282.8627456170692,274.2479271242844,276.8460484065981,35204500
2022-03-10,278.9460754394531,279.9325884962455,274.0526177555188,276.4358563626852,30628000
2022-03-11,273.5544738769531,282.774864613997,272.9293484945548,281.2609058452866,27209300
2022-03-14,270.0088806152344,278.7604261286971,269.4033091129183,273.8181447488476,30660700
2022-03-15,280.4697570800781,281.1241833635932,272.2456560470784,273.82796371431203,34245100
2022-03-16,287.54132080078125,287.71712612417315,276.61164274900227,282.3841261870192,37826300
2022-03-17,288.35205078125,288.7329623842595,282.6381382751306,286.46695714344366,30816600
2022-03-18,293.4408264160156,293.99757316021453,285.9199761499781,288.49854401593865,43390600
2022-03-21,292.20037841796875,293.15759053708035,288.0394730484602,291.9366703988556,28351200
2022-03-22,296.9863586425781,297.9044929069664,291.8194166325831,292.82545356386584,27599700
2022-03-23,292.52264404296875,296.1756568140491,290.79383211906736,293.5189338021798,25715400
2022-03-24,297.02545166015625,297.1231312309202,291.379918238393,292.18084898798924,24484500
2022-03-25,296.61517333984375,298.39283996580843,292.3273179152547,298.1291319836509,22566500
2022-03-28,303.4718933105469,303.5695430664441,297.25005982529126,297.25005982529126,29578200
2022-03-29,308.07232666015625,308.47279202478853,301.8602697702275,306.607222558749,30393400
2022-03-30,306.558349609375,308.5997540997693,304.3313927001987,306.4606998545268,28163600
2022-03-31,301.1374816894531,307.80860543703966,300.72726925093815,306.5974324960297,33422100
2022-04-01,302.2216796875,302.9151539322343,298.43193906959664,302.17282500075515,27110500
2022-04-04,307.64251708984375,307.7792446200952,302.5048765591821,302.8760409818312,24289600
2022-04-05,303.647705078125,307.5448723417732,302.6611921386578,305.9820887152526,23156700
2022-04-06,292.53240966796875,299.8579291087359,289.8073080898712,298.0900394683066,40110400
2022-04-07,294.35888671875,296.5858433277945,289.4556833430118,289.75846908051597,31411200
2022-04-08,290.0613098144531,294.114758514282,289.3873595463898,293.45058514528654,24361900
2022-04-11,278.62371826171875,285.80270394768763,278.36975736568456,285.0018030890559,34569300
2022-04-12,275.4981384277344,283.97619928160407,273.9646558393346,282.5110953632232,30966700
2022-04-13,280.9288024902344,281.86646070056173,274.7558238397101,276.15257896822624,21907200
2022-04-14,273.32000732421875,281.60273889735595,272.8218922597156,281.38785579640427,28221600
2022-04-18,273.9939880371094,275.88885837270146,271.86471058622556,272.42145729266235,20778000
2022-04-19,278.66278076171875,279.5125661563599,271.93308493466304,272.88052008737515,22297700
2022-04-20,279.6981201171875,282.96044474494096,278.73116096907495,282.6674060462636,22906700
2022-04-21,274.2772216796875,286.47664424325205,273.54466971199327,281.8664493342582,29454600
2022-04-22,267.6549377441406,276.6116190711728,267.0200653700481,275.12696142486067,29405800
2022-04-25,274.1893615722656,274.5702731546205,264.4708253695772,266.93221943989084,35678900
2022-04-26,263.9336242675781,271.88424044488903,263.7187411380498,271.0442617252178,46518400
2022-04-27,276.63116455078125,284.2008683712325,272.66561886945095,275.5372250259476,63477700
2022-04-28,282.8920593261719,284.21065891974973,274.9121128968321,278.5553489961394,33646600
2022-04-29,271.0637512207031,283.136223111986,270.0674912783745,281.89574937354394,37073900
2022-05-02,277.85205078125,278.31111782691977,269.79397995090306,271.2493068412205,35151100
2022-05-03,275.2246398925781,277.51997521228634,273.6325556110866,277.3539169944291,25978600
2022-05-04,283.23394775390625,284.1130042909022,270.29219430347206,276.01585359728927,33599300
2022-05-05,270.89776611328125,279.6883911046849,267.9577808832732,278.89723724006825,43260400
2022-05-06,268.3386535644531,272.75348892117427,264.9591260271714,268.4167793179081,37780300
2022-05-09,258.4248352050781,266.0238411937127,257.1941679359595,263.7773599912908,47726000
2022-05-10,263.2303161621094,267.38144359694786,258.90338342503435,265.36937009549405,39336400
2022-05-11,254.48854064941406,265.0470539174945,253.2676207080762,259.4992008578831,48975900
2022-05-12,249.40956115722656,253.83417435707582,244.20355612148884,251.69511998155738,51033800
2022-05-13,255.04531860351562,256.9206649789618,249.40956219324804,251.3630343391789,34925100
2022-05-16,255.4164581298828,259.635964706736,249.82952714597997,253.91227637831992,32550900
2022-05-17,260.6127624511719,262.0876138576455,256.3541770797721,259.9192582812611,28828800
2022-05-18,248.74710083007812,258.06728913926753,247.46459889192343,257.4798766012705,31356000
2022-05-19,247.82684326171875,252.26177682297725,246.59329478297516,248.57088624180696,32692300
2022-05-20,247.259033203125,253.11353015163928,241.2674902410114,251.84079783567697,39199300
2022-05-23,255.17919921875,256.01136450516975,248.11073893484485,250.12751404871221,33175400
2022-05-24,254.17080688476562,255.8449071700964,248.1792649144939,252.4771371370307,29043900
2022-05-25,257.0099182128906,259.02667817864454,251.7330652545858,252.72187577614946,28547900
2022-05-26,260.3190002441406,261.5035951035618,255.94282019309284,256.76518578883463,25002100
2022-05-27,267.5049133300781,267.60282038984076,261.9441389092218,262.8448420311824,26910800
2022-05-31,266.1637268066406,269.0028528487479,263.28543195733954,266.80987767863127,37827700
2022-06-01,266.7021789550781,271.86155596020575,264.37212808920003,269.4238282296738,25292200
2022-06-02,268.8168029785156,268.88534091282213,256.1092604664374,258.8994475400852,44008200
2022-06-03,264.3525085449219,267.7105385887121,262.7763153602589,264.6364300672862,28059000
2022-06-06,263.109130859375,268.42515189564506,261.611245653657,266.34965395068014,22400300
2022-06-07,266.7804870605469,267.3972687467386,260.35817754202344,261.0434971660239,22860700
2022-06-08,264.7343444824219,267.2699791610121,263.9511178260545,266.0070467180861,17372300
2022-06-09,259.2322998046875,266.98604925881506,259.075654478326,262.1595327811504,26439700
2022-06-10,247.67999267578125,255.11066747424474,247.2296410529994,255.11066747424474,31422800
