Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-02-16,JNJ,BUY,3,153.2781524658203,19540.16554260254,{'JNJ': 3},20000.0
2022-02-16,META,BUY,2,215.71597290039065,19108.733596801758,"{'JNJ': 3, 'META': 2}",20000.0
2022-02-16,TSLA,BUY,1,307.7966613769531,18800.936935424805,"{'JNJ': 3, 'META': 2, 'TSLA': 1}",20000.0
2022-02-17,AAPL,BUY,3,166.1871795654297,18302.375396728516,"{'JNJ': 3, 'META': 2, 'TSLA': 1, 'AAPL': 3}",20000.0
2022-02-17,AMZN,BUY,3,154.65249633789062,17838.417907714844,"{'JNJ': 3, 'META': 2, 'TSLA': 1, 'AAPL': 3, 'AMZN': 3}",20000.0
2022-02-17,GOOGL,BUY,3,132.06027221679688,17442.237091064453,"{'JNJ': 3, 'META': 2, 'TSLA': 1, 'AAPL': 3, 'AMZN': 3, 'GOOGL': 3}",20000.0
2022-02-17,JNJ,BUY,3,152.3430938720703,16985.207809448242,"{'JNJ': 6, 'META': 2, 'TSLA': 1, 'AAPL': 3, 'AMZN': 3, 'GOOGL': 3}",19997.19482421875
2022-02-17,META,BUY,2,206.91958618164065,16571.36863708496,"{'JNJ': 6, 'META': 4, 'TSLA': 1, 'AAPL': 3, 'AMZN': 3, 'GOOGL': 3}",19979.60205078125
2022-02-17,MSFT,BUY,1,283.96649169921875,16287.402145385742,"{'JNJ': 6, 'META': 4, 'TSLA': 1, 'AAPL': 3, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1}",19979.60205078125
2022-02-17,TSLA,BUY,1,292.1166687011719,15995.28547668457,"{'JNJ': 6, 'META': 4, 'TSLA': 2, 'AAPL': 3, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1}",19963.92205810547
2022-02-17,V,BUY,2,219.8468017578125,15555.591873168945,"{'JNJ': 6, 'META': 4, 'TSLA': 2, 'AAPL': 3, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1, 'V': 2}",19963.92205810547
2022-02-18,AAPL,BUY,3,164.6323699951172,15061.694763183594,"{'JNJ': 6, 'META': 4, 'TSLA': 2, 'AAPL': 6, 'AMZN': 3, 'GOOGL': 3, 'MSFT': 1, 'V': 2}",19959.25762939453
2022-02-18,AMZN,BUY,3,152.60150146484375,14603.890258789062,"{'JNJ': 6, 'META': 4, 'TSLA': 2, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 3, 'MSFT': 1, 'V': 2}",19953.10464477539
2022-02-18,GOOGL,BUY,3,129.93199157714844,14214.094284057617,"{'JNJ': 6, 'META': 4, 'TSLA': 2, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 1, 'V': 2}",19946.719802856445
2022-02-18,JNJ,BUY,3,150.7101593017578,13761.963806152344,"{'JNJ': 9, 'META': 4, 'TSLA': 2, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 1, 'V': 2}",19936.92219543457
2022-02-18,META,BUY,2,205.37548828125,13351.212829589844,"{'JNJ': 9, 'META': 6, 'TSLA': 2, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 6, 'MSFT': 1, 'V': 2}",19930.745803833008
2022-02-18,MSFT,SELL,1,281.23162841796875,13632.444458007812,"{'JNJ': 9, 'META': 6, 'TSLA': 2, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 6, 'V': 2}",19928.010940551758
2022-02-18,TSLA,BUY,1,285.6600036621094,13346.784454345703,"{'JNJ': 9, 'META': 6, 'TSLA': 3, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 6, 'V': 2}",19915.097610473633
2022-02-18,V,BUY,2,217.9674835205078,12910.849487304688,"{'JNJ': 9, 'META': 6, 'TSLA': 3, 'AAPL': 6, 'AMZN': 6, 'GOOGL': 6, 'V': 4}",19911.338973999023
2022-02-22,AAPL,BUY,3,161.69989013671875,12425.749816894531,"{'JNJ': 9, 'META': 6, 'TSLA': 3, 'AAPL': 9, 'AMZN': 6, 'GOOGL': 6, 'V': 4}",19893.744094848633
2022-02-22,AMZN,BUY,3,150.19749450683594,11975.157333374023,"{'JNJ': 9, 'META': 6, 'TSLA': 3, 'AAPL': 9, 'AMZN': 9, 'GOOGL': 6, 'V': 4}",19879.320053100586
