Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-02-15,JNJ,BUY,3,153.36976623535156,19539.890701293945,{'JNJ': 3},20000.0
2022-02-16,AAPL,BUY,2,169.7986297607422,19200.29344177246,"{'JNJ': 3, 'AAPL': 2}",20000.0
2022-02-16,JNJ,BUY,3,153.2781524658203,18740.458984375,"{'JNJ': 6, 'AAPL': 2}",19999.725158691406
2022-02-16,META,BUY,2,215.71597290039065,18309.02703857422,"{'JNJ': 6, 'AAPL': 2, 'META': 2}",19999.725158691406
2022-02-16,MSFT,BUY,1,292.53240966796875,18016.49462890625,"{'JNJ': 6, 'AAPL': 2, 'META': 2, 'MSFT': 1}",19999.725158691406
2022-02-16,TSLA,BUY,1,307.7966613769531,17708.697967529297,"{'JNJ': 6, 'AAPL': 2, 'META': 2, 'MSFT': 1, 'TSLA': 1}",19999.725158691406
2022-02-17,GOOGL,BUY,3,132.06027221679688,17312.517150878906,"{'JNJ': 6, 'AAPL': 2, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'GOOGL': 3}",19999.725158691406
2022-02-17,JNJ,BUY,3,152.3430938720703,16855.487869262695,"{'JNJ': 9, 'AAPL': 2, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'GOOGL': 3}",19994.114807128906
2022-02-17,META,BUY,2,206.91958618164065,16441.648696899414,"{'JNJ': 9, 'AAPL': 2, 'META': 4, 'MSFT': 1, 'TSLA': 1, 'GOOGL': 3}",19976.522033691406
2022-02-17,MSFT,BUY,1,283.96649169921875,16157.682205200195,"{'JNJ': 9, 'AAPL': 2, 'META': 4, 'MSFT': 2, 'TSLA': 1, 'GOOGL': 3}",19967.956115722656
2022-02-17,NVDA,BUY,20,24.466310501098633,15668.355995178223,"{'JNJ': 9, 'AAPL': 2, 'META': 4, 'MSFT': 2, 'TSLA': 1, 'GOOGL': 3, 'NVDA': 20}",19967.956115722656
