Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-02-18,NVDA,BUY,21,23.602745056152344,19504.3423538208,{'NVDA': 21},20000.0
2022-02-22,NVDA,BUY,21,23.351163864135746,19013.96791267395,{'NVDA': 42},19994.71679496765
2022-02-23,NVDA,BUY,22,22.349828720092773,18522.27168083191,{'NVDA': 64},19952.660718917847
2022-02-24,NVDA,BUY,21,23.708568572998047,18024.39174079895,{'NVDA': 85},20039.620069503784
2022-02-25,NVDA,BUY,20,24.11689186096191,17542.053903579712,{'NVDA': 105},20074.327548980713
2022-02-28,NVDA,BUY,20,24.344511032104492,17055.163682937622,{'NVDA': 125},20098.227561950684
2022-03-01,NVDA,BUY,21,23.438018798828125,16562.96528816223,{'NVDA': 146},19984.916032791138
2022-03-02,NVDA,BUY,20,24.18390655517578,16079.287157058716,{'NVDA': 166},20093.815645217896
2022-03-03,NVDA,BUY,21,23.67865753173828,15582.035348892212,{'NVDA': 187},20009.94430732727
2022-03-04,NVDA,BUY,21,22.90182304382324,15101.097064971924,{'NVDA': 208},19864.67625808716
2022-03-07,NVDA,BUY,23,21.32017707824707,14610.732992172241,{'NVDA': 231},19535.693897247314
2022-03-08,NVDA,BUY,23,21.4819393157959,14116.648387908936,{'NVDA': 254},19573.060974121094
2022-03-09,NVDA,BUY,21,22.97970199584961,13634.074645996094,{'NVDA': 275},19953.492694854736
2022-03-10,NVDA,BUY,22,22.62423515319824,13136.341472625732,{'NVDA': 297},19855.73931312561
2022-03-11,NVDA,BUY,22,22.067066192626953,12650.86601638794,{'NVDA': 319},19690.260131835938
2022-03-14,NVDA,BUY,23,21.29821395874023,12161.007095336914,{'NVDA': 342},19444.996269226074
2022-03-15,NVDA,BUY,21,22.938764572143555,11679.2930393219,{'NVDA': 363},20006.06457901001
2022-03-16,NVDA,BUY,20,24.459495544433594,11190.103128433228,{'NVDA': 383},20558.089921951294
2022-03-17,NVDA,BUY,20,24.729095458984375,10695.52121925354,{'NVDA': 403},20661.346689224243
2022-03-18,NVDA,BUY,18,26.413576126098633,10220.076848983765,{'NVDA': 421},21340.19239807129
2022-03-21,NVDA,BUY,18,26.69415855407715,9739.581995010376,{'NVDA': 439},21458.317600250244
