Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-02-15,JNJ,BUY,3,153.36976623535156,19539.890701293945,{'JNJ': 3},20000.0
2022-02-15,V,BUY,2,222.9886932373047,19093.913314819336,"{'JNJ': 3, 'V': 2}",20000.0
2022-02-16,AAPL,BUY,2,169.7986297607422,18754.31605529785,"{'JNJ': 3, 'V': 2, 'AAPL': 2}",20000.0
2022-02-16,GOOGL,BUY,3,137.24050903320312,18342.594528198242,"{'JNJ': 3, 'V': 2, 'AAPL': 2, 'GOOGL': 3}",20000.0
2022-02-16,JNJ,BUY,3,153.2781524658203,17882.76007080078,"{'JNJ': 6, 'V': 2, 'AAPL': 2, 'GOOGL': 3}",19999.725158691406
2022-02-16,META,BUY,2,215.71597290039065,17451.328125,"{'JNJ': 6, 'V': 2, 'AAPL': 2, 'GOOGL': 3, 'META': 2}",19999.725158691406
2022-02-16,MSFT,BUY,1,292.53240966796875,17158.79571533203,"{'JNJ': 6, 'V': 2, 'AAPL': 2, 'GOOGL': 3, 'META': 2, 'MSFT': 1}",19999.725158691406
2022-02-16,V,SELL,2,223.967529296875,17606.73077392578,"{'JNJ': 6, 'AAPL': 2, 'GOOGL': 3, 'META': 2, 'MSFT': 1}",20001.682830810547
2022-02-17,AAPL,BUY,3,166.1871795654297,17108.169235229492,"{'JNJ': 6, 'AAPL': 5, 'GOOGL': 3, 'META': 2, 'MSFT': 1}",19994.459930419922
2022-02-17,AMZN,BUY,3,154.65249633789062,16644.21174621582,"{'JNJ': 6, 'AAPL': 5, 'GOOGL': 3, 'META': 2, 'MSFT': 1, 'AMZN': 3}",19994.459930419922
2022-02-17,GOOGL,BUY,3,132.06027221679688,16248.03092956543,"{'JNJ': 6, 'AAPL': 5, 'GOOGL': 6, 'META': 2, 'MSFT': 1, 'AMZN': 3}",19978.919219970703
2022-02-17,JNJ,BUY,3,152.3430938720703,15791.001647949219,"{'JNJ': 9, 'AAPL': 5, 'GOOGL': 6, 'META': 2, 'MSFT': 1, 'AMZN': 3}",19973.308868408203
2022-02-17,META,BUY,2,206.91958618164065,15377.162475585938,"{'JNJ': 9, 'AAPL': 5, 'GOOGL': 6, 'META': 4, 'MSFT': 1, 'AMZN': 3}",19955.716094970703
2022-02-17,MSFT,BUY,1,283.96649169921875,15093.195983886719,"{'JNJ': 9, 'AAPL': 5, 'GOOGL': 6, 'META': 4, 'MSFT': 2, 'AMZN': 3}",19947.150177001953
2022-02-17,NVDA,BUY,20,24.466310501098633,14603.869773864746,"{'JNJ': 9, 'AAPL': 5, 'GOOGL': 6, 'META': 4, 'MSFT': 2, 'AMZN': 3, 'NVDA': 20}",19947.150177001953
2022-02-17,TSLA,BUY,1,292.1166687011719,14311.753105163574,"{'JNJ': 9, 'AAPL': 5, 'GOOGL': 6, 'META': 4, 'MSFT': 2, 'AMZN': 3, 'NVDA': 20, 'TSLA': 1}",19947.150177001953
2022-02-17,V,BUY,2,219.8468017578125,13872.05950164795,"{'JNJ': 9, 'AAPL': 5, 'GOOGL': 6, 'META': 4, 'MSFT': 2, 'AMZN': 3, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19947.150177001953
2022-02-18,AAPL,BUY,3,164.6323699951172,13378.162391662598,"{'JNJ': 9, 'AAPL': 8, 'GOOGL': 6, 'META': 4, 'MSFT': 2, 'AMZN': 3, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19939.37612915039
2022-02-18,AMZN,BUY,3,152.60150146484375,12920.357887268066,"{'JNJ': 9, 'AAPL': 8, 'GOOGL': 6, 'META': 4, 'MSFT': 2, 'AMZN': 6, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19933.22314453125
2022-02-18,GOOGL,BUY,3,129.93199157714844,12530.561912536621,"{'JNJ': 9, 'AAPL': 8, 'GOOGL': 9, 'META': 4, 'MSFT': 2, 'AMZN': 6, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19920.45346069336
2022-02-18,JNJ,BUY,3,150.7101593017578,12078.431434631348,"{'JNJ': 12, 'AAPL': 8, 'GOOGL': 9, 'META': 4, 'MSFT': 2, 'AMZN': 6, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19905.757049560547
2022-02-18,META,BUY,2,205.37548828125,11667.680458068848,"{'JNJ': 12, 'AAPL': 8, 'GOOGL': 9, 'META': 6, 'MSFT': 2, 'AMZN': 6, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19899.580657958984
2022-02-18,MSFT,BUY,1,281.23162841796875,11386.448829650879,"{'JNJ': 12, 'AAPL': 8, 'GOOGL': 9, 'META': 6, 'MSFT': 3, 'AMZN': 6, 'NVDA': 20, 'TSLA': 1, 'V': 2}",19894.110931396484
2022-02-18,NVDA,BUY,21,23.602745056152344,10890.79118347168,"{'JNJ': 12, 'AAPL': 8, 'GOOGL': 9, 'META': 6, 'MSFT': 3, 'AMZN': 6, 'NVDA': 41, 'TSLA': 1, 'V': 2}",19876.83962249756
2022-02-18,TSLA,BUY,1,285.6600036621094,10605.13117980957,"{'JNJ': 12, 'AAPL': 8, 'GOOGL': 9, 'META': 6, 'MSFT': 3, 'AMZN': 6, 'NVDA': 41, 'TSLA': 2, 'V': 2}",19870.382957458496
2022-02-18,V,BUY,2,217.9674835205078,10169.196212768555,"{'JNJ': 12, 'AAPL': 8, 'GOOGL': 9, 'META': 6, 'MSFT': 3, 'AMZN': 6, 'NVDA': 41, 'TSLA': 2, 'V': 4}",19866.624320983887
2022-02-22,AAPL,BUY,3,161.69989013671875,9684.096542358398,"{'JNJ': 12, 'AAPL': 11, 'GOOGL': 9, 'META': 6, 'MSFT': 3, 'AMZN': 6, 'NVDA': 41, 'TSLA': 2, 'V': 4}",19843.1644821167
2022-02-22,AMZN,BUY,3,150.19749450683594,9233.50405883789,"{'JNJ': 12, 'AAPL': 11, 'GOOGL': 9, 'META': 6, 'MSFT': 3, 'AMZN': 9, 'NVDA': 41, 'TSLA': 2, 'V': 4}",19828.740440368652
